ID,CATEGORIA,TITOLO,AUTORE,CASA_EDITRICE,ANNO_PUBBLICAZIONE,NOTE,SCOMPARTO
2650,Musica Pop-Rock,"I grandi della musica Rock. La storia, i miti, i personaggi della musica rock. Volume 1",AAVV,Hobby & Work,1995,,
2651,Musica Pop-Rock,Hip Hop Rap Graph Gangs. Scenari subculturali sullo sfondo di Los Angeles che brucia,AAVV,A/TRAVERSO,1992,,
2652,Musica Pop-Rock,Guns n' Roses. Tutti i testi con traduzione a fronte,AAVV,Arcana Editrice,1993,,
2653,Musica Pop-Rock,Enciclopedia Hard-Rock,AAVV,Edizioni Blues Brothers,1991,,
2654,Musica Pop-Rock,Enciclopedia del Rock Volume 9 (ROM.SWEL),AAVV,G. Editoriale L'Espresso,2013,,
2655,Musica Pop-Rock,Enciclopedia del Rock Volume 8 (OLD.ROL),AAVV,G. Editoriale L'Espresso,2012,,
2656,Musica Pop-Rock,Enciclopedia del Rock Volume 7 (LUNN-OHI),AAVV,G. Editoriale L'Espresso,2011,,
2657,Musica Pop-Rock,Enciclopedia del Rock Volume 6 (JAM-LUNC),AAVV,G. Editoriale L'Espresso,2010,,
2658,Musica Pop-Rock,Enciclopedia del Rock Volume 5 (GENT-JAH),AAVV,G. Editoriale L'Espresso,2009,,
2659,Musica Pop-Rock,Enciclopedia del Rock Volume 4  (DIRT-GENE),AAVV,G. Editoriale L'Espresso,2008,,
2660,Musica Pop-Rock,Enciclopedia del Rock Volume 3 (CELL-DIRE),AAVV,G. Editoriale L'Espresso,2007,,
2661,Musica Pop-Rock,Enciclopedia del Rock Volume 2 (BEAUV-CAV),AAVV,G. Editoriale L'Espresso,2006,,
2662,Musica Pop-Rock,Enciclopedia del Rock Volume 10 (SWER-Z),AAVV,G. Editoriale L'Espresso,2014,,
2663,Musica Pop-Rock,Enciclopedia del Rock Volume 1(A-BEAT),AAVV,G. Editoriale L'Espresso,2005,,
2664,Musica Pop-Rock,Enciclopedia del Rock italiano Volume 12 (J-Z),AAVV,G. Editoriale L'Espresso,2016,,
2665,Musica Pop-Rock,Enciclopedia del Rock italiano Volume 11 (A-L),AAVV,G. Editoriale L'Espresso,2015,,
2666,Musica Pop-Rock,David Bowie. Interviste storie e mutamenti 1966-1986.,AAVV,Arcana Editrice,1986,,
2667,Musica Pop-Rock,David Bowie. HIT N° 12 mensile anno III,AAVV,Edizioni Leti,1990,,
2668,Musica Pop-Rock,Catalogo discografico Pop-Rock anni '60 - '70 - '80,AAVV,Edizioni Blues Brothers,1990,,
2669,Musica Pop-Rock,Canti della resistenza Italiana,AAVV,Edizioni Avanti Milano,1960,,
2670,Musica Pop-Rock,"Cantautori ""Le Garzantine"" n° 41",AAVV,TV Sorrisi e Canzoni,2005,,
2671,Musica Pop-Rock,Bruce Springsteen. Studio su testi e musiche,AAVV,Gammalibri,1987,,
2672,Musica Pop-Rock,Beatles. Interviste. Storia e magie. Discografia e Videografia complete,AAVV,Arcana Editrice,1984,,
2673,Musica Pop-Rock,"Anime trasparenti. Jim Morrison, Jan Curtis, Nick Drake, Janis Joplin",AAVV,Edizioni Lo Vecchio,2000,,
2674,Musica Pop-Rock,Amintore Galli. Musicista e musicologo,AAVV,Nuove Edizioni,1988,,
2675,Musica classica,"Una storia dilettevole della musica. Insulti, ingiurie, contumelie e altri divertimenti",Zaccagnini Guido,Marsilio,2022,,
2676,Musica classica,Deep listening. La pratica sonora di una compositrice (esercizi per affrontare qualsiasi sonorità),Oliveros Pauline,Timeo,2005,,
2677,Musica classica,Storia della musica. Dall'antichità classica al novecento,Casini Claudio,Bompiani,2006,,
2678,Musica classica,100 Dischi ideali per capire la Musica Classica,Sala B. Virginio,Ed Riuniti,2003,,
2679,Musica classica,L'opera per organo di J. S. Bach Volume 2,AAVV,Associazione Amici della musica Varese,1980,,
2680,Musica classica,Farinelli,Ricci Corrado,Akademos & Lim,1995,,
2681,Musica classica,Il Contrabbasso,Carlin Salvatore,Edizioni Bèrben,,,
2682,Musica classica,I Bach. Storia di una dinastia musicale,Geiringer Karl,Rusconi,1981,,
2683,Musica classica,Il contrabbasso,Suskind Patrick,Guanda,1984,,
2684,Musica classica,La musica romantica ,Schumann Robert,Mondadori,1958,Prefazione e traduzione di Luigi Ronga,
2685,Musica classica,L'estetica musicale dal settecento ad oggi,Fubini Enrico,Einaudi,1964,,
2686,Musica classica,Lettura della nona sinfonia,Mila Massimo,Einaudi,1977,,
2687,Musica classica,L'estetica musicale dall'antichità al Settecento,Fubini E.,Einaudi,1976,,
2688,Musica classica,Verdi ,Marchesi Gustavo,UTET,1970,Prefazione e traduzione di Luigi Ronga,
2689,Musica classica,Rossini,Vitoux F.,Rusconi,1991,,
2690,Musica classica,L'anello del Nibelungo,Wagner Richard,Mondadori,1950,,
2691,Musica classica,4° Festival VIVALDI. L'invenzione del Gusto Corelli e Vivaldi,AAVV,Ricordi,1982,,Pianerottolo 3° 5° 6° 8°11° 14° 17° sopra CD Sogg.
2692,Musica classica,Guida all'ascolto della musica da camera dell'Ottocento,Zaniboni A.,Franco Muzzio Editore,1992,,
2693,Musica classica,Bartok La musica da camera,Walsh S.,Rugginenti Editore,1982,,
2694,Musica classica,Scritti su Beethoven,Wagner Richard,Passigli Editori,1991,,
2695,Musica classica,Il mondo delle cantate di Bach Voll.1. Le cantate di J. S. Bach da Arnstadt a Kothen,"Wolff C., Koopman T.",Anabasi I Concerti del Quartetto,1995,,
2696,Musica classica,Mendelssohn,Werner E.,Rusconi,1984,,
2697,Musica classica,Gustav Mahler,Walter B.,Edizioni Studio Tesi,1957,,
2698,Musica classica,Verdi. Anni Opere,Marchesi Gustavo,Azzali Editori,1991,,
2699,Musica classica,"Igor Strawinsky. ""I grandi musicisti del XX secolo",Venuti M.,Targa Italiana,1988,,
2700,Musica classica,Strumenti musicali elettronici. Dai generatori d'onde ad un miniorgano,Tunker H.,Franco Muzzio Editore,1974,,
2701,Musica classica,Il canto delle sirene,Trias Eugenio,Tropea,2007,,
2702,Musica classica,"Guida all'ascolto della Musica per Pianoforte e Clavicembalo Voll. 1, A-H",Trannchefort Francois-Renè,Rusconi,1987,,
2703,Musica classica,Il potere della musica. Figli delle pietre in una terra difficile,Tolan Sandy,Hans e Alice Zevi Editions,2021,,
2704,Musica classica,"Chopin, Schumann, Liszt","Temperley N., Abraham G., Searle H.",Giunti Ricordi,1988,,
2705,Musica classica,Poetica della musica,Stravinskij I.,Edizioni Studio Tesi,1995,,
2706,Musica classica,Il musical. Storia illustrata del cinema,Stern L. E.,Milano Libri Edizioni,1975,,
2707,Musica classica,Musica,Stephan R. (a cura di),Feltrinelli,1957,,
2708,Musica classica,Musica barocca 2. Angeli e sirene,Stefani Gino,Bompiani,1988,,
2709,Musica classica,Capire la musica,Stefani Gino,Bompiani,1985,,
2710,Musica classica,Musica contemporanea,Staff H.,Jaca Book,1992,,
2711,Musica classica,Manuale di armonia. (a cura di Luigi Rognoni),Schonberg A.,Il Saggiatore,1922,,
2712,Musica classica,Il significato della musica,Schneider Marius,Rusconi,1979,,
2713,Musica classica,Glenn Gould. Piano solo,Schneider M.,Einaudi,1989,,
2714,Musica classica,Musica segno e suono nella seconda metà del '900,Santarsiere R.,Edizioni Setteclavio Salerno,1995,,
2715,Musica classica,La nascita del Novecento.Storia della musica Voll. 10 (a cura della Società  Italiana di Musicologia),Salvetti Guido (a cura di),Corriere della Sera - EDT,2018,,
2716,Musica classica,Vinile. Istruzioni per l'uso,Saluzzi Antonio,Quinto Quarto Edizioni,2018,,
2717,Musica classica,Gianna Pederzini. Non solo Carmen,Rubboli Daniele,Azzali Editori,1989,,
2718,Musica classica,Il resto è rumore. Ascoltando il XX secolo,Ross A.,Bompiani,2007,,
2719,Musica classica,Fenomenologia della musica radicale,Rognoni L.,Garzanti,1974,,
2720,Musica classica,Franz Schubert,Roggeri Edoardo,Fratelli Melita Editori,1990,,
2721,Musica classica,Le nozze di Figaro. Libretto ed articoli,"Rivista ""Amadeus Lirica""",De Agostini-Rizzoli ,1997,,
2722,Musica classica,Don Giovanni. Libretto ed articoli,"Rivista ""Amadeus Lirica""",De Agostini-Rizzoli ,1995,,
2723,Musica classica,Storia sociale della musica,Raynor H.,Il Saggiatore,1972,,
2724,Musica classica,Vita di Wolfgango Amadeo Mozart scritta da lui medesimo,Rattalino P.,Il Saggiatore,2005,,
2725,Musica classica,Piano Recital,Rattalino P.,Flavio Pagano Editore,1992,,
2726,Musica classica,Pianisti e fortisti. Un viaggio fra gli interpreti alla tastiera,Rattalino P.,Giunti Ricordi,1999,,
2727,Musica classica,Le sonate per pianoforte di Beethoven. Guida all'ascolto,Rattalino P.,Il Lavoro Editoriale,1989,,
2728,Musica classica,Il concerto per pianoforte e orchestra. Da Haydn a Gershwin,Rattalino P.,Giunti Ricordi,1988,,
2729,Musica classica,Il Bagatto,Rattalino P.,Zecchini Editore,2006,,
2730,Musica classica,"Grand Piano. Arrau,Backaus, Barenboim, Gilels, Richter, Tureck, ecc.",Rattalino P.,Symphonia,1996,,
2731,Musica classica,Storia dell'accademia filarmonica romana,Quattrocchi A.,Pres. Cons. Ministri,,,
2732,Musica classica,La musica in cento parole. Un piccolo lessico,Quattrocchi A.,Carocci,2003,,
2733,Musica classica,Musica ex machina,Prieberg F. K.,Einaudi,1960,,
2734,Musica classica,La musica elettronica. Testi scelti e commentati da Henri Pousseur,Pousseur H.,Feltrinelli,1976,,
2735,Musica classica,Offenbach Idillio e Parola,Pourvoyeur R.,E. D. A.,1980,,
2736,Musica classica,La vita appassionata di Chopin,Pourtalès de G.,Nuova Accademia,1964,,
2737,Musica classica,Savinio musicista. Il suono metafisico,Porzio Michele,Marsilio Editori,1988,,
2738,Musica classica,Fondamenti di educazione musicale,"Poltronieri N. , Frantoni R.",EDS,1969,,
2739,Musica classica,Pretesti musicali,Poli D. D.,Ed. Del Milione,1952,Libro Vecchio,
2740,Musica classica,Musica nel buio,Picco Cesare,add Editore,2014,,
2741,Musica classica,La musica romantica,Pasi M.,Jaca Book,1993,,
2742,Musica classica,Classica le opere immortali. I 101 CD della musica sinfonica e da camera,Pasetto M. (a cura di),Demetra,1998,,
2743,Musica classica,Musica: una storia a 33 giri. Guida ragionata a una discoteca classica,"Napoli E., Ravasini M.",Mondadori,1980,,
2744,Musica classica,Giuseppe Verdi,Orsini L.,Società Editrice Internazionale,1963,,
2745,Musica classica,L'arte del pianoforte,Neuaus H.,Rusconi,1982,,
2746,Musica classica,Casa sonora,Negri G.,Ed. Studio Tesi,1989,,
2747,Musica classica,Il discorso musicale.Per una semiologia della musica,Nattiez J-J.,Einaudi,1977,,
2748,Musica classica,"Wolfgang Amadeus Mozart. La vita, le opere",Molteni A.,Kaos Edizioni,1989,,
2749,Musica classica,Ludwig Van Beethoven. La vita e le opere,Molteni A.,Kaos Edizioni,1989,,
2750,Musica classica,"Ludwig van Beethoven e l'ideale della ""Bildung"". Il neoumanesimo dell'eroe romantico",Forlani M. G.,Banca di Piacenza,2004,,
2751,Musica classica,Verdi. Tutti i libretti d'opera,Mioli P. (a cura di),Newton,1996,,
2752,Musica classica,Storia dell'opera lirica,Mioli P. (a cura di),Newton 100 pagine,1994,,
2753,Musica classica,Rossini. Tutti i libretti d'opera,Mioli P. (a cura di),Newton,1997,,
2754,Musica classica,Le più belle arie d'opera,Mioli P. (a cura di),Newton 100 pagine,1993,,
2755,Musica classica,Wolfgang Amadeus Mozart,Mila Massimo,Ed. Studio Tesi,1985,,
2756,Musica classica,Maderna musicista europeo,Mila Massimo,Einaudi,1976,,
2757,Musica classica,Lettura delle Nozze di Figaro. Mozart e la ricerca della felicità,Mila Massimo,Einaudi,1979,,
2758,Musica classica,La musica e le arti,Parente A.,E. D. A.,1936,,
2759,Musica classica,Lettura del Flauto magico,Mila Massimo,Einaudi,1989,,
2760,Musica classica,Lettura del Don Giovanni di Mozart,Mila Massimo,Einaudi,1988,,
2761,Musica classica,L'esperienza musicale e l'estetica,Mila Massimo,Einaudi,1956,,
2762,Musica classica,Mozart. Lo straordinario viaggio musicale del bambino prodigio e della sua famiglia,Pellicanò A.,Giorgio Mondadori,1991,,
2763,Musica classica,L'arte di Bela Bartok,Mila Massimo,Einaudi,1996,,
2764,Musica classica,I costumi della Traviata,Mila Massimo,Ed. Studio Tesi,1984,,
2765,Musica classica,Musica nel nuovo mondo. Storia della musica americana,Mellers Wilfrid,Einaudi,1964,,
2766,Musica classica,La musica. Produzione distribuzione consumo,Porena B.,Ed. Riuniti Libri di base,1988,,
2767,Musica classica,"Franco Donatoni. ""I grandi musicisti del XX secolo",Mazzola Nangeroni G.,Targa Italiana,1989,,
2768,Musica classica,Gershwin. La vita e l'opera,Mauro Walter,Newton Compton Editori,1987,,
2769,Musica classica,"La voce, la musica, il demoniaco",Mathieu V.,Spirali Ed.,1983,,
2770,Musica classica,Bela Bartok,Mari P.,SugarCo Ed.,1969,,
2771,Musica classica,Beethoven e il suo mondo,Marek R. George,Reader's Digest,1970,,
2772,Musica classica,Verdi. La vita . I viaggi,"Marchesi G. , Pasi M.",Guanda,1993,,
2773,Musica classica,Guida all'ascolto della musica sinfonica,Manzoni G.,Feltrinelli,1967,,
2774,Musica classica,Da Clementi a Pollini. Duecento anni con i grandi pianisti,Rattalino P.,Giunti Ricordi,1983,,
2775,Musica classica,"AlbanBerg. ""I grandi musicisti del XX secolo",Mancini T.,Targa Italiana,1990,,
2776,Musica classica,Debussy,Malipiero R.,La Scuola,1948,,
2777,Musica classica,Antonio Vivaldi. Il Prete rosso,Malipiero G.,Ricordi,1958,,
2778,Musica classica,La sonata romantica,Rattalino P.,Il Saggiatore,1985,,
2779,Musica classica,Richard Wagner,Macchi G.,Fratelli Melita Editori,1990,,
2780,Musica classica,Suoni futuri digitali. La musica e il suo deflagrante impatto con la cultura digitale,Ludovico A.,APOGEO,2000,,
2781,Musica classica,"Sylvano Bussotti. ""I grandi musicisti del XX secolo",Lucioli A.,Targa Italiana,1988,,
2782,Musica classica,Storia del pianoforte,Rattalino P.,Il Saggiatore,1982,,
2783,Musica classica,Claude Debussy,Lockspeiser Edward,Fratelli Melita Editori,1990,,
2784,Musica classica,Confessioni di un musicista romantico,Liszt F.,Minuziano,1945,,
2785,Musica classica,Mozart in Rock,Lipperini L.,Il Saggiatore,2006,,
2786,Musica classica,Invito all'ascolto di Bach,Lipperini L.,Mursia,1984,,
2787,Musica classica,Il melodramma Italiano. (Giornale di Ieri – Milano 1961 numero 1),Leydi R.,Trevi,1961,,
2788,Musica classica,Richard Strauss,Levi V.,Ed. Studio Tesi,1985,,
2789,Musica classica,Dizionario dei compositori del Novecento,Leucci F.,Vallardi,1999,,
2790,Musica classica,Liszt,Rostand C.,Mondadori,1961,,
2791,Musica classica,Webern,Kolneder W.,Rusconi,1965,,
2792,Musica classica,Vivaldi,Kolneder W.,Rusconi,1961,,
2793,Musica classica,"Il pianoforte. Lo strumento, la tecnica esecutiva, i grandi compositori",kentner L.,Franco Muzzio Editore,1976,,
2794,Musica classica,Come si suona il pianoforte,Sandor G.,Rizzoli,1981,,
2795,Musica classica,"La grammatica della musica. La teoria, le forme e gli strumenti musicali",Karolyi Otto,Einaudi,1965,,
2796,Musica classica,Parole sulla musica. Conversazioni Discorsi Saggi Radiodrammi,Kagel M.,Quodlibet,2000,,
2797,Musica classica,Le Svetlana. Passioni e delitti ad alta fedeltà,Jacini S.,Marco Tropea Editore,2005,,
2798,Musica classica,Funzioni strutturali dell'armonia,Schonberg A.,Il Saggiatore,1954,,
2799,Musica classica,Chopin,Iwaszkiewicz J,Ed. Studio Tesi,1955,,
2800,Musica classica,Le ali di Wieland. Sette temi musicali,Isotta P.,Rizzoli,1984,,
2801,Musica classica,I sentieri della musica,Isotta P.,Mondadori,1978,,
2802,Musica classica,Musica scritta di quotidiana inutilità,Ielmini D.,Zecchini Editore,2004,,
2803,Musica classica,"Godel, Escher, Bach: un'eterna ghirlanda brillante",Hofstadter D. R.,Adelphi,1979,,
2804,Musica classica,Mozart. La più bella biografia del divino Amadeus. Voll. I &II ,Hildesheimer W., Biblioteca Amadeus 100,1977,,
2805,Musica classica,Il romanzo del pianoforte. L'eroe segreto del XIX secolo,Hildebrandt D.,SugarCo Ed.,1985,,
2806,Musica classica,Cavalleria Rusticana (libretto),"Targioni G. , Tozzetti, Menasci G,",Sonzogno,1956,,
2807,Musica classica,Glenn Gould e la ricerca del pianoforte perfetto,Hafner K.,Einaudi,2008,,
2808,Musica classica,Wagner,Gutman R. W.,Rusconi,1968,,
2809,Musica classica,Romanticismo e musica. L'estetica musicale da Kant a Nietzsche,Guanti G. (a cura di),EDT/Musica,1981,,
2810,Musica classica,"Guida all'ascolto della Musica per Pianoforte e Clavicembalo Voll. 2, I-Z",Trannchefort Francois-Renè,Rusconi,1987,,
2811,Musica classica,Breve storia della musica occidentale,Griffiths P.,Einaudi,2006,,
2812,Musica classica,L'interpretazione musicale,Graziosi Glenn,Einaudi,1952,,
2813,Musica classica,L'ala del turbine intelligente. Scritti sulla musica,Gould Glenn,Adelphi,1984,,
2814,Musica classica,Una fantastica storia della musica raccontata ai ragazzi. Approfondimenti storici di Monique Ciola,Vinciguerra Remo,Edizioni Curci,2016,,
2815,Musica classica,La Serie Schonberg,Gould Glenn,Archinto,2001,,
2816,Musica classica,L'opera in CD e VIDEO. Guida all'ascolto. Tutte le opere liriche commentate ed interpretate,Giudici E.,Il Saggiatore,1995,,
2817,Musica classica,Guida all'ascolto della musica contemporanea. Dalle prime avanguarsdie alla nuova musica,Gentilucci A.,Feltrinelli,1969,,
2818,Musica classica,Tutto è musica. Appunti per una educazione musicale,Gelmetti V.,ERI. Ed. RAI,1979,,
2819,Musica classica,Chopin. Vita di un musicista nell'europa romantica borghese,Gavoty B.,Mondadori,1974,,
2820,Musica classica,Il suono dell'utopia. Piero Farulli dal Quartetto Italiano alla Scuola di Musica di Fiesole,Gasponi A.,Passigli Editori,1999,,
2821,Musica classica,Il pensiero del cuore. Musica simbolo inconscio,Gaita D.,Bompiani,1991,,
2822,Musica classica,Suono e parola,Furtwangler W.,Fogola,1954,,
2823,Musica classica,Musica e linguaggio nell'estetica contemporanea,Fubini E.,Einaudi,1973,,
2824,Musica classica,Il giullare,Fossati I.,Stampa Alternativa,1991,,
2825,Musica classica,Schumann e l'amore romantico,Forlani M. G.,Banca di Piacenza,2006,,
2826,Musica classica,Bach: Cantate e Oratori (libretto Tomo III),AAVV,Ariele,1995,,
2827,Musica classica,Antonio Vivaldi. La simbologia musicale nei concerti a programma,Fertonani C.,Ed. Studio Tesi,1992,,
2828,Musica classica,Musica ornata. Lo spartito Art Nouveau,Fanelli G.,Cantini Editore,1991,,
2829,Musica classica,Gluck,Einstein Alfred,Fratelli Melita Editori,1946,,
2830,Musica classica,Strawinsky,Vlad R.,Einaudi,1958,,
2831,Musica classica,Breve storia della musica,Einstein Alfred,Rizzoli,1934,,
2832,Musica classica,Schumann e il suo tempo,Edler Arnfried,EDT,1982,,
2833,Musica classica,"Giacomo Manzoni. ""I grandi musicisti del XX secolo",Dorsi F.,Targa Italiana,1989,,
2834,Musica classica,Filosofia della musica,Donà M.,Bompiani,2006,,
2835,Musica classica,Il teatro di Mozart,Dent E. J.,Rusconi,1947,,
2836,Musica classica,I concerti di Mozart,Della Croce L.,Mondadori,1983,,
2837,Musica classica,Arturo Toscanini,Della Corte A.,Ed. Studio Tesi,1958,,
2838,Musica classica,Glenn Gould. A quattro mani con il microfono,Deliso Christian,Pisati Editori,2007,,
2839,Musica classica,La musica contemporanea,De Paoli D.,Studium,1952,,
2840,Musica classica,Storia universale della musica Voll.2,De Candé R.,Editori Riuniti,1978,,
2841,Musica classica,Storia universale della musica Voll.1,De Candé R.,Editori Riuniti,1978,,
2842,Musica classica,Monteverdi,de' Paoli Domenico,Rusconi,1979,,
2843,Musica classica,M. P. Musorgskij Musica e verità. Nell'epistolario commentato da Andrej Rimskij-Korsakoov,D'amico F. (a cura di),Il Saggiatore,1981,,
2844,Musica classica,Il teatro di Rossini,D'amico F.,Il Mulino,1992,,
2845,Musica classica,La libertà della musica,D'Alembert J-B Le Rond,Signorelli,1993,,
2846,Musica classica,L'opera per organo di J. S. Bach Volume 1,AAVV,Associazione Amici della musica Varese,1980,,
2847,Musica classica,Conversazioni con Glenn Gould,Cott J.,Ubulibri,1984,,
2848,Musica classica,Come ascoltare la musica,Copland A.,Garzanti,1954,,
2849,Musica classica,"La musica, sue leggi, sua evoluzione",Combarieu Jules,ALINEA Editrice,1907,,
2850,Musica classica,"Musica, media e tecnologie",Chion M.,Il Saggiatore,1994,,
2851,Musica classica,"Beethoven al pianoforte. Improvvisazione, composizione e ricerca sonora negli esercizi tecnici",Chiantore Luca,Il Saggiatore,2014,,
2852,Musica classica,Gershwin,Chalupt R.,Nuova Accademia,1959,Cofanetto con 3 LP,
2853,Musica classica,"Voce di tenore. Dal rinascimento a oggi, storia e tecnica, ruoli e protagonisti di un mito della lirica",Celletti R.,IdeaLibri,1989,,
2854,Musica classica,Nikita Magaloff,Cella F.,Nuove Edizioni,1995,,
2855,Musica classica,Maria Callas,Cederna C.,Longanesi,1968,,
2856,Musica classica,Il linguaggio musicale dal rinascimento a oggi,Castiglioni N.,Ricordi,1959,,
2857,Musica classica,Conoscere la musica,"Castelvecchi S., Stazi E.",Ed. Riuniti Libri di base,1988,,
2858,Musica classica,Caikovskij,"Casini C. , Delogu M.",Rusconi,1993,,
2859,Musica classica,Verdi,Casini C.,Rusconi,1981,,
2860,Musica classica,Storia della musica Voll.2. Dal Seicento al Novecento,Casini C.,Rusconi,1988,,
2861,Musica classica,Storia della musica Voll.1. Dall'antichità classica al  cinquecento,Casini C.,Rusconi,1987,,
2862,Musica classica,Maurice Ravel,Casini C.,Ed. Studio Tesi,1989,,
2863,Musica classica,L'arte di ascoltare la musica,Casini C.,Rusconi,1991,,
2864,Musica classica,"Serghej Rachmaninov. ""I grandi musicisti del XX secolo",Carnelli M.,Targa Italiana,1990,,
2865,Musica classica,Mozart,"Carli Ballola G., Parenti R.",Rusconi,1990,,
2866,Musica classica,Da Farinelli a Camilleri. Storie di parola per musica,Cantù A.,Zecchini Editore,2003,,
2867,Musica classica,Vademecum del pianista da camera,Canino B.,Passigli Editori,1997,,
2868,Musica classica,Modest Mussorgsky,Calvocoressi Michel Dimitri,Fratelli Melita Editori,1990,,
2869,Musica classica,Ferruccio Busoni. Trascrivere in musica l'infinito,Calliari G.,Il Margine,2011,,
2870,Musica classica,Disordine alfabetico,Bussotti S.,Spirali Ed.,2002,,
2871,Musica classica,Tutti i Lieder di Johannes Brahms per voce e pianoforte. Guida alla lettura e all'ascolto con la traduzione dal tedesco in italiano di tutti i testi poetici,Bussi francesco,Libreria Musicale Italiana,1998,,
2872,Musica classica,Fuori con la musica,Brunello Mario con Daniela Basso,Rizzoli,2011,,
2873,Musica classica,Per volontà e per caso. Su Boulez e sulla musica contemporanea,Boulez Pierre,Einaudi,1975,,
2874,Musica classica,Note di apprendistato,Boulez Pierre,Einaudi,1966,,
2875,Musica classica,Hector Berlioz,Boschot Adolphe,Fratelli Melita Editori,1945,,
2876,Musica classica,"Karlheinz Stockhausen. ""I grandi musicisti del XX secolo",Boschi C.,Targa Italiana,1989,,
2877,Musica classica,Introduzione al Lied romantico,Bortolotto M.,Adelphi,1984,,
2878,Musica classica,"Senso (Libro + DVD: Anton Bruckner, Sinfonia N° 4 Romantica)",Boito C.,Classica,2009,Libro + DVD,
2879,Musica classica,La musica antica,Boccardi S.,Jaca Book,1994,,
2880,Musica classica,Memorie. (a cura di Olga Visentini),Berlioz H.,Ed. Studio Tesi,1989,,
2881,Musica classica,Intervista sulla musica (A cura di Rossana Dalmonte),Berio Luciano,Laterza,1981,,
2882,Musica classica,C'è musica e musica,Berio Luciano,Feltrinelli,2013,Libro + 2 DVD (12 Puntate),
2883,Musica classica,"Brahms, Bruckner. Maestri del tardo Romanticismo","Becker H., Cooke D.",Giunti Ricordi,1980,,
2884,Musica classica,Principessa Turandot. La voce e l'arte di Gina Cigna,Baudissone Bruno,Azzali Editori,1989,,
2885,Musica classica,Non è musica per vecchi,Battistoni A.,Rizzoli,2012,,
2886,Musica classica,La crisi musicale europea,Bastianelli G.,Vallecchi,1976,,
2887,Musica classica,Sui sentieri della musica,"Basso A. , Berio L.",IdeaLibri,1985,,
2888,Musica classica,"Riccardo Zandonai. ""I grandi musicisti del XX secolo",Bassi A.,Targa Italiana,1989,,
2889,Musica classica,"Kurt Weill. ""I grandi musicisti del XX secolo",Bassi A.,Targa Italiana,1988,,
2890,Musica classica,Gioacchino Rossini,Bassi A.,Franco Muzzio Editore,1992,,
2891,Musica classica,"Benjamin Britten. ""I grandi musicisti del XX secolo",Bassi A.,Targa Italiana,1989,,
2892,Musica classica,Alfredo Casella. L'anticipatore. Prefazione di Luciano Chailly,Bassi A.,Antonio Lalli Editore,1984,,
2893,Musica classica,Scritti sulla musica popolare,Bartok B.,Boringhieri,1977,,
2894,Musica classica,Berlioz,Barraud H.,Rusconi,1977,,
2895,Musica classica,Storia della musica,"Baroni Mario, Fubini Enrico, Petazzi Paolo, Santi Piero, Vinay Gianfranco",Einaudi,1988,,
2896,Musica classica,Verdi. La vita le opere,Barigazzi G.,Famiglia Cristiana,1996,,
2897,Musica classica,L'anima di Hegel e le mucche del Wisconsin. Una riflessione su musica colta e modernità,Baricco Alessandro,Feltrinelli,1992,,
2898,Musica classica,La musica sveglia il tempo,Barenboim D.,Feltrinelli,2007,,
2899,Musica classica,Handel. La vita e l'opera,"Barbieri G. , Bonanni A.",Newton Compton Editori,1986,,
2900,Musica classica,Beethoven,Ballola C. G.,Accademia,1967,,
2901,Musica classica,La musica va oltre. La ricerca di Gustav Mahler,Baldini G.,Edizioni OCD,2004,,
2902,Musica classica,L'improvvisazione. Sua natura e pratica in musica,Bailey D.,Arcana Editrice,1980,,
2903,Musica classica,Le opere di Verdi,Bagnoli G. (a cura di),Mondadori,2001,,
2904,Musica classica,"Atlante dell'Opera Lirica. Il repertorio, gli autori, i generi e …",Bagnoli G.,Demetra,1998,,
2905,Musica classica,Dizionario della musica italiana. La musica strumentale,Badalì R.,Newton 100 pagine,1996,,
2906,Musica classica,Mozart da vicino,Arruga L.,Rizzoli,2006,Libro con CD allegato,
2907,Musica classica,Monteverdi. La musica sacra,Arnold Denis,Rugginenti Editore,1982,,
2908,Musica classica,Monteverdi. I madrigali,Arnold Denis,Rugginenti Editore,1967,,
2909,Musica classica,"L'eredità Callas. La cantante, la diva, le incisioni. Guida completa con una nota di Elvio Giudici",Ardoin J.,Il Saggiatore,1977,,
2910,Musica classica,Dialettica della musica. Saggio su Adorno,Arbo A.,Guerini e Associati,1991,,
2911,Musica classica,Long Play e altri volteggi della puntina. (a cura di Massimo Carboni),Adorno T. W.,Castelvecchi,2012,,
2912,Musica classica,Introduzione alla sociologia della musica,Adorno T. W.,Einaudi,1962,,
2913,Musica classica,Impromptus: Saggi musicali 1922-1968,Adorno T. W.,Feltrinelli,1968,,
2914,Musica classica,Mozart. La maturità 1783-1791Voll.2,Abert Hermann,Il Saggiatore,1919,,
2915,Musica classica,Zeppelin n° 2 ( gennaio 1987),AAVV,Rivista,1987,,
2916,Musica classica,Xenakis. A cura di Enzo Restagno,AAVV,EDT MUSICA,1988,,
2917,Musica classica,Valery Gergiev. La tempesta sonora,AAVV,IntesaBci,2000,Cofanetto con CD,
2918,Musica classica,Rossiniana,AAVV,Edizioni Studio Tesi,1992,,
2919,Musica classica,Rossini & Verdi. Inediti e rarità,AAVV,BPM Banca Popolare di Milano,2002,Cofanetto con 2 CD,
2920,Musica classica,"Musica Volume 2 (P - Z) ""Le Garzantine""",AAVV,Il Giornale,2004,,
